date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:52	93064/93064	---M--	200	added ('OK')	application/javascript	date:Sun,%2030%20Oct%202016%2012:00:42%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/js/jquery-1.10.1.min.js	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/js/jquery-1.10.1.min.js	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:54	3400/3400	---M--	200	added ('OK')	application/javascript	date:Sun,%2030%20Oct%202016%2012:00:41%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/js/custom.js	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/js/custom.js	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:54	1660/1660	---M--	200	added ('OK')	application/javascript	date:Sun,%2030%20Oct%202016%2012:00:44%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/js/wowtransition.js	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/js/wowtransition.js	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:55	14563/14563	---M--	200	added ('OK')	application/javascript	date:Sun,%2030%20Oct%202016%2012:00:44%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/js/wowslider.js	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/js/wowslider.js	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:58	21506/21506	---M--	200	added ('OK')	application/javascript	date:Sun,%2030%20Oct%202016%2012:00:43%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/js/jquery.prettyPhoto.js	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/js/jquery.prettyPhoto.js	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:59	25271/25271	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2030%20Oct%202016%2012:00:31%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/glyphicons-halflings-regular.eot	(from http://craftedpixels.net/demo-html/kindergarten-template/css/bootstrap.min.css)
16:52:02	44287/44287	---MC-	200	added ('OK')	text/javascript	date:Thu,%2020%20Jun%202019%2021:35:04%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/somani_bacha/www.google-analytics.com/analytics.js	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:52:03	30354/30354	---M--	200	added ('OK')	font/woff	date:Sun,%2030%20Oct%202016%2012:00:33%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/glyphicons-halflings-regular.woff	(from http://craftedpixels.net/demo-html/kindergarten-template/css/bootstrap.min.css)
16:52:04	63157/63157	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2030%20Oct%202016%2012:00:32%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/glyphicons-halflings-regular.svg	(from http://craftedpixels.net/demo-html/kindergarten-template/css/bootstrap.min.css)
16:52:05	119189/119189	---M--	200	added ('OK')	text/css	date:Sun,%2030%20Oct%202016%2012:00:26%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/css/bootstrap.css	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/css/bootstrap.css	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:07	25271/25271	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2030%20Oct%202016%2012:00:31%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/glyphicons-halflings-regulard41d.eot	(from http://craftedpixels.net/demo-html/kindergarten-template/css/bootstrap.min.css)
16:52:10	20796/20796	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2030%20Oct%202016%2012:00:33%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/solomon_normal-webfont.eot	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/solomon_normal-webfont.eot	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
